Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,FractionPremiumSeats,PitchDifference,WidthDifference
AirFrance,Boeing,6.91,Sep,International,216,24,32,38,17,19,648,1710,1.64,240,0.1,6,2
AirFrance,Boeing,6.91,Oct,International,216,24,32,38,17,19,648,1710,1.64,240,0.1,6,2
AirFrance,AirBus,9.5,Oct,International,147,21,32,38,18,19,630,1611,1.56,168,0.13,6,1
AirFrance,Boeing,6.91,Aug,International,216,24,32,38,17,19,700,1710,1.44,240,0.1,6,2
AirFrance,AirBus,9.5,Sep,International,147,21,32,38,18,19,743,1611,1.17,168,0.13,6,1
AirFrance,AirBus,13,Sep,International,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6,1
AirFrance,AirBus,13,Oct,International,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6,1
AirFrance,AirBus,9.5,Aug,International,147,21,32,38,18,19,990,1611,0.63,168,0.13,6,1
AirFrance,Boeing,6.91,Jul,International,216,24,32,38,17,19,1094,1710,0.56,240,0.1,6,2
AirFrance,Boeing,8.33,Aug,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,Boeing,8.33,Sep,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,Boeing,8.33,Oct,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,AirBus,8.33,Jul,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Aug,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Sep,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Oct,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Jul,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Aug,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Sep,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Oct,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Aug,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Sep,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Oct,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.5,Aug,International,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6,1
AirFrance,AirBus,7.5,Sep,International,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6,1
AirFrance,Boeing,7.5,Oct,International,200,28,32,38,17,19,2581,2781,0.08,228,0.12,6,2
AirFrance,AirBus,6.83,Sep,International,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6,1
AirFrance,AirBus,6.83,Oct,International,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6,1
AirFrance,Boeing,6.83,Aug,International,200,28,32,38,17,19,2860,3063,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Jul,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Aug,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Sep,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,10.66,Aug,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,Boeing,10.66,Sep,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,Boeing,10.66,Oct,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,AirBus,8.91,Aug,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
AirFrance,AirBus,8.91,Sep,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
AirFrance,AirBus,8.91,Oct,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
